epoch,step,train_loss_epoch,train_loss_step,val/prc,val_loss
0,49,,0.5558720231056213,,
0,97,,,0.1198042556643486,0.366085022687912
0,97,0.4684557020664215,,,
1,99,,0.28274354338645935,,
1,149,,0.3102511465549469,,
1,195,,,0.1624404489994049,0.3379584848880768
1,195,0.2993488907814026,,,
2,199,,0.2587619423866272,,
2,249,,0.2663175165653229,,
2,293,,,0.2341524064540863,0.3069809079170227
2,293,0.2609268128871918,,,
3,299,,0.2633306384086609,,
3,349,,0.25970250368118286,,
3,391,,,0.3502701222896576,0.279987633228302
3,391,0.23442107439041138,,,
4,399,,0.26133573055267334,,
4,449,,0.2096892148256302,,
4,489,,,0.35251712799072266,0.2766023278236389
4,489,0.22189001739025116,,,
5,499,,0.25563371181488037,,
5,549,,0.26041167974472046,,
5,587,,,0.38906770944595337,0.2921157479286194
5,587,0.2169080525636673,,,
6,599,,0.18448205292224884,,
6,649,,0.16521723568439484,,
6,685,,,0.414922833442688,0.2621702551841736
6,685,0.21312907338142395,,,
7,699,,0.22491446137428284,,
7,749,,0.16600441932678223,,
7,783,,,0.38689079880714417,0.25877970457077026
7,783,0.20585016906261444,,,
8,799,,0.23641110956668854,,
8,849,,0.18157166242599487,,
8,881,,,0.39653077721595764,0.255806028842926
8,881,0.20362651348114014,,,
9,899,,0.1694641411304474,,
9,949,,0.23289524018764496,,
9,979,,,0.43863463401794434,0.24829745292663574
9,979,0.20009218156337738,,,
10,999,,0.22151979804039001,,
10,1049,,0.19365355372428894,,
10,1077,,,0.43357568979263306,0.2461109310388565
10,1077,0.19876231253147125,,,
11,1099,,0.22823262214660645,,
11,1149,,0.20498566329479218,,
11,1175,,,0.43911048769950867,0.2480800449848175
11,1175,0.19551415741443634,,,
12,1199,,0.1494319885969162,,
12,1249,,0.1805105358362198,,
12,1273,,,0.4217696785926819,0.24644087255001068
12,1273,0.19318413734436035,,,
13,1299,,0.1699102222919464,,
13,1349,,0.199374720454216,,
13,1371,,,0.450003445148468,0.24111108481884003
13,1371,0.19085215032100677,,,
14,1399,,0.17791235446929932,,
14,1449,,0.1402880847454071,,
14,1469,,,0.4430510401725769,0.24322809278964996
14,1469,0.18921427428722382,,,
15,1499,,0.11964288353919983,,
15,1549,,0.20404836535453796,,
15,1567,,,0.4242684841156006,0.2422405481338501
15,1567,0.18721671402454376,,,
16,1599,,0.18022409081459045,,
16,1649,,0.1575375646352768,,
16,1665,,,0.45102494955062866,0.23857763409614563
16,1665,0.18544207513332367,,,
17,1699,,0.18453936278820038,,
17,1749,,0.17232899367809296,,
17,1763,,,0.4526960253715515,0.23701359331607819
17,1763,0.18461276590824127,,,
18,1799,,0.19783154129981995,,
18,1849,,0.13570396602153778,,
18,1861,,,0.4557015895843506,0.23549772799015045
18,1861,0.18218107521533966,,,
19,1899,,0.1717471480369568,,
19,1949,,0.1631825566291809,,
19,1959,,,0.4534989595413208,0.23577888309955597
19,1959,0.18049032986164093,,,
20,1999,,0.16242463886737823,,
20,2049,,0.19840696454048157,,
20,2057,,,0.4650633931159973,0.23522944748401642
20,2057,0.17941805720329285,,,
